corner,v_volt,t_celsius,canary,can_sel,loop_delay_ns,startpoint,endpoint,f_osc_mhz,count_win0,sat_win0,count_win1,sat_win1,count_win2,sat_win2,count_win3,sat_win3,run_id,git_commit,librelane_image,pdk_rev
nom_typ_1p20V_25C,1.2,25,ro_gen,3,1.9,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,263.158,1347,1,5389,1,21557,1,86231,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,3,6.43,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,77.76,398,0,1592,1,6370,1,25480,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_gen,0,1.16,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,431.034,2206,1,8827,1,35310,1,141241,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_mat,0,2.09,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,239.234,1224,1,4899,1,19598,1,78392,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_gen,1,1.76,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,284.091,1454,1,5818,1,23272,1,93090,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_mat,1,4.9,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,102.041,522,0,2089,1,8359,1,33436,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_gen,2,2.43,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,205.761,1053,1,4213,1,16855,1,67423,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_mat,2,8.35,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,59.88,306,0,1226,1,4905,1,19621,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_gen,3,3.01,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,166.113,850,0,3401,1,13607,1,54431,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_mat,3,10.24,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,48.828,250,0,1000,0,4000,1,16000,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
