corner,v_volt,t_celsius,canary,can_sel,status,f_sta_mhz,f_spice_mhz,ratio_spice_over_sta,period_spice_ns,period_std_ps,n_periods,loop_delay_ns,line_seg_ns,gate_seg_ns,wire_share_pct,tstop_ns,tstep_ps,solver,spice_node,vmin,vmax,sta_startpoint,sta_endpoint
nom_typ_1p20V_25C,1.2,25,ro_gen,3,ok,260.417,284.2332654637201,1.0914543423191272,3.5182370310122666,0.3376313095278459,195,1.92,1.72,0.2,89.58333333333334,750.0,5.0,,v(x1._1351_\/clk),-0.04017633483716838,1.254698635060486,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_typ_1p20V_25C,1.2,25,ro_mat,3,ok,103.306,104.41932504219648,1.0107769639923767,9.576771345686193,4.465500824675189,185,4.84,4.64,0.2,95.86776859504131,1845.0,5.0,,v(x1._1367_\/clk),-0.0499876498320136,1.2890745592893762,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_gen,0,ok,438.596,382.9136917070696,0.8730441949016169,2.6115545661005086,4.116242255437465,154,1.14,0.83,0.31,72.80701754385966,457.5,5.0,,v(x1._1351_\/clk),-0.03813336241920092,1.129605821255845,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_mat,0,ok,253.807,132.19135627145073,0.5208341624598641,7.564791134652798,22.701154848388313,82,1.97,1.66,0.31,84.26395939086295,768.8,5.0,,v(x1._1367_\/clk),-0.03826064467607452,1.1298843668677028,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_gen,1,ok,284.091,320.9022193439474,1.1295754506265507,3.116214035678533,0.03132120320773597,209,1.76,1.45,0.31,82.38636363636364,690.0,5.0,,v(x1._1351_\/clk),-0.07815062574665206,1.1657585444598124,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_mat,1,ok,129.534,138.2309089631571,1.0671399706884457,7.234272041620817,0.05767218896573592,189,3.86,3.55,0.31,91.96891191709845,1477.5,5.0,,v(x1._1367_\/clk),-0.03954666216666425,1.1304264919218814,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_gen,2,ok,205.761,229.85048324370734,1.1170750688600237,4.350654329230683,0.14288376022985053,206,2.43,2.12,0.31,87.24279835390946,941.3,5.0,,v(x1._1351_\/clk),-0.0482476042410744,1.1326453924598212,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_mat,2,ok,86.957,90.64458875552842,1.0424070374498708,11.032098150911516,372.7337330732315,169,5.75,5.44,0.31,94.6086956521739,2000.0,5.0,,v(x1._1367_\/clk),-0.04640565543582834,1.132740923332345,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_gen,3,ok,165.563,178.6788787622899,1.0792198665299007,5.596632388377453,0.856791640109854,190,3.02,2.71,0.31,89.73509933774834,1162.5,5.0,,v(x1._1351_\/clk),-0.038768711580318846,1.131945457594409,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_slow_1p08V_125C,1.08,125,ro_mat,3,ok,66.05,65.35010469589805,0.9894035533065565,15.302194306396707,5.627452288137941,119,7.57,7.26,0.31,95.90488771466315,2000.0,5.0,,v(x1._1367_\/clk),-0.04280441159441984,1.136450953859477,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
