corner,canary,can_sel,vdd,temp,lib,status,control_pins,n_control_pins,f_osc_mhz,period_ns,period_std_ps,n_periods,n_periods_raw,period_min_s,period_max_s,node,vmin,vmax,tstop_ns,tstep_ps,solver,wall_s,deck,raw,log,loop_delay_ns,line_seg_ns,gate_seg_ns,startpoint,endpoint,f_osc_sta_mhz,run_id,git_commit,librelane_image,pdk_rev,cv,n_modes,measurement_source,note
nom_slow_1p08V_125C,ro_gen,2,1.08,125,mos_ss,ok,ok,6,230.7626,4.333458469094566,0.1851,32,32,,,v(x1._1347_\/clk),-0.0372,1.1289,155.23,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel2.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel2.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel2.log,2.33,2.03,0.3,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),214.592,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,4.270485528256453e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_slow_1p08V_125C,ro_gen,3,1.08,125,mos_ss,ok,ok,6,182.7258,5.472680710675482,0.145,32,32,,,v(x1._1347_\/clk),-0.0376,1.1293,194.81,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel3.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel3.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel3.log,2.92,2.62,0.3,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),171.233,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,2.6499975042531264e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_slow_1p08V_125C,ro_mat,0,1.08,125,mos_ss,ok,ok,6,288.5257,3.4658963353151373,0.1575,32,32,,,v(x1._1363_\/clk),-0.0372,1.1289,125.4,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel0.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel0.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel0.log,1.97,1.69,0.28,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),253.807,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,4.5436195454654255e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_slow_1p08V_125C,ro_mat,1,1.08,125,mos_ss,ok,ok,6,138.0403,7.244262188324123,0.1604,31,31,,,v(x1._1363_\/clk),-0.0376,1.1294,255.93,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel1.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel1.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel1.log,3.85,3.57,0.28,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),129.87,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,2.2137821504723322e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_slow_1p08V_125C,ro_mat,2,1.08,125,mos_ss,ok,ok,6,91.2331577386874,10.960927197809248,1449.6226,39,39,,,v(x1._1363_\/clk),-0.0372,1.1289,163.63,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel2.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel2.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel2.log,5.73,5.45,0.28,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),87.26,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.3850905880728565,3,previous dataset value retained (multi-mode in the new deck),"counter-inclusive deck oscillates in more than one mode here (cv=0.39); the new run median was 239.5 MHz against 91.2331577386874 MHz before. Retaining the previous value, flagged as unstable. Multi-mode: status is ""ok"" with cv=0.385."
nom_slow_1p08V_125C,ro_mat,3,1.08,125,mos_ss,ok,ok,6,68.75412356427958,14.544582174261595,1981.9298,52,52,,,v(x1._1363_\/clk),-0.0441,1.1378,189.53,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel3.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel3.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_mat_sel3.log,7.5,7.22,0.28,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),66.667,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.575180901198996,0,previous dataset value retained (multi-mode in the new deck),"counter-inclusive deck oscillates in more than one mode here (cv=0.58); the new run median was 541.9 MHz against 68.75412356427958 MHz before. Retaining the previous value, flagged as unstable. Multi-mode: status is ""ok"" with cv=0.575."
nom_typ_1p20V_25C,ro_gen,0,1.2,25,mos_tt,ok,ok,6,822.1341,1.2163465942855514,0.1675,35,35,,,v(x1._1347_\/clk),-0.0384,1.2515,47.96,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel0.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel0.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel0.log,0.67,0.48,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),746.269,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.0001377432467874084,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_typ_1p20V_25C,ro_gen,1,1.2,25,mos_tt,ok,ok,6,506.4733,1.974437618615649,0.2237,33,33,,,v(x1._1347_\/clk),-0.039,1.2525,74.12,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel1.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel1.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel1.log,1.06,0.87,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),471.698,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.00011330885179011253,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_typ_1p20V_25C,ro_gen,2,1.2,25,mos_tt,ok,ok,6,364.4803,2.7436323368573894,0.3318,33,33,,,v(x1._1347_\/clk),-0.0386,1.252,100.66,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel2.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel2.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel2.log,1.48,1.29,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),337.838,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.00012093780429742137,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_typ_1p20V_25C,ro_gen,3,1.2,25,mos_tt,ok,ok,6,288.5637,3.4654387757680407,0.2502,32,32,,,v(x1._1347_\/clk),-0.0391,1.2525,124.95,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel3.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel3.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_gen_sel3.log,1.86,1.67,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),268.817,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,7.219861012553598e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_typ_1p20V_25C,ro_mat,0,1.2,25,mos_tt,ok,ok,6,457.098,2.187714738644839,0.1344,33,33,,,v(x1._1363_\/clk),-0.0386,1.252,81.2,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel0.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel0.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel0.log,1.25,1.07,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),400.0,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,6.14523020459861e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_typ_1p20V_25C,ro_mat,1,1.2,25,mos_tt,ok,ok,6,218.2369,4.582176924278948,0.1832,32,32,,,v(x1._1363_\/clk),-0.0391,1.2525,163.37,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel1.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel1.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel1.log,2.45,2.27,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),204.082,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,3.99802659046145e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_typ_1p20V_25C,ro_mat,2,1.2,25,mos_tt,ok,ok,6,144.1929616391438,6.935151262809848,2383.3099,48,48,,,v(x1._1363_\/clk),-0.0405,1.252,245.27,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel2.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel2.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel2.log,3.65,3.47,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),136.986,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.4870405387140091,1,previous dataset value retained (multi-mode in the new deck),"counter-inclusive deck oscillates in more than one mode here (cv=0.49); the new run median was 143.5 MHz against 144.1929616391438 MHz before. Retaining the previous value, flagged as unstable. Multi-mode: status is ""ok"" with cv=0.487."
nom_typ_1p20V_25C,ro_mat,3,1.2,25,mos_tt,ok,ok,6,108.50264620559881,9.216365083899673,2843.866,41,41,,,v(x1._1363_\/clk),-0.0399,1.2551,318.33,10.0,klu,,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel3.sp,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel3.raw,runs/fosc-counter/nom_typ_1p20V_25C_ro_mat_sel3.log,4.8,4.62,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),104.167,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.3811266277080944,1,previous dataset value retained (multi-mode in the new deck),"counter-inclusive deck oscillates in more than one mode here (cv=0.38); the new run median was 107.9 MHz against 108.50264620559881 MHz before. Retaining the previous value, flagged as unstable. Multi-mode: status is ""ok"" with cv=0.381."
