corner,period_ns,capture_duty,high_time_ns,freq_mhz,cfg_word,segs,pattern,cansel,winsel,forcecan,nframes_req,ops,n_compared,err_cnt,err_rate_per_op,gen_cnt,mat_cnt,cfg_echo,stat,err_dut,ro_note,sdf,run_id,git_commit,librelane_image,pdk_rev,log
nom_typ_1p20V_25C,36,0.5,18.0,27.778,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p36_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,40,0.5,20.0,25.0,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p40_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_slow_1p08V_125C,36,0.5,18.0,27.778,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p36_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,40,0.5,20.0,25.0,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p40_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,42,0.5,21.0,23.81,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p42_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,44,0.5,22.0,22.727,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p44_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,46,0.5,23.0,21.739,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p46_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,48,0.5,24.0,20.833,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p48_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,50,0.5,25.0,20.0,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p50_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,54,0.5,27.0,18.519,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p54_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,60,0.5,30.0,16.667,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p60_d0.5_w4dff_nom_slow_1p08V_125C.log
